lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_time,avg_idle_ratio,variance,fairness_cv,cvar,fairness_effect,delta_cvar_cross,delta_profit
1.4,4,lam1.4_kmean_4,1.8441579328276194,0.09610768956921109,14.103249336035923,36619,115.11825265840959,594700.893233344,16.455839654310832,2.552934663633139,0.3632712964679309,1461.013715045419,0.3320343058747829,26.420348594353275,-0.08650267592387872,-4.027921181951211,-1.0843914728831123
1.5,3,lam1.5_kmean_3,1.8300513698630136,0.09237084082339415,14.122203917287587,36692,116.71446544849925,594543.4869946552,16.679824362764737,2.4872030922829143,0.3632712964679309,1359.7210932031387,0.3159368123941139,29.042779629664114,-0.011175043096310233,-1.4054901466403713,0.5118213172065538
1.5,4,lam1.5_kmean_4,1.9164736884133196,0.09004830900977638,14.17815311027168,36849,115.49978476379925,596902.8876593146,16.52600443217926,2.5170155469162743,0.3632712964679309,1371.9736807167062,0.32069465022829896,27.790674491963358,-0.020286846074880405,-2.6575952843411272,-0.7028593674934456
1.6,3,lam1.6_kmean_3,1.967265554193101,0.09401192168526483,14.07787908307657,36776,116.45649745390132,595791.4409741592,16.64732928521297,2.5011109343233353,0.3632712964679309,1347.0783912123845,0.3151611747773539,30.866434640134997,-0.0017731261927200759,0.418164863830512,0.25385332260862015
1.6,4,lam1.6_kmean_4,1.5931438396647144,0.07622655929008271,14.012295866332225,36629,115.47571477017514,595046.3582107126,16.5085695083142,2.546310522149021,0.3632712964679309,1393.102687137791,0.3232219945122644,26.952301991532813,-0.03599971843173422,-3.495967784771672,-0.7269293611175556
1.7000000000000002,3,lam1.7_kmean_3,1.4086783203598459,0.06965767078596827,13.979254921297299,36604,115.22801549564475,593539.5078180662,16.4724989124599,2.5593731172662846,0.3632712964679309,1381.3860643257324,0.3225517874168865,26.891918468223658,-0.02728649287676621,-3.5563513080808278,-0.9746286356479459
1.7000000000000002,4,lam1.7_kmean_4,2.1019977001042975,0.0957689648256278,14.127504582093835,36607,115.73935944555234,593279.9565179013,16.56522362268152,2.510996927018575,0.3632712964679309,1361.7681997773818,0.3188383255526709,28.670496660467208,-0.01269740168056721,-1.7777731158372774,-0.4632846857403621
1.8,3,lam1.8_kmean_3,1.5012287637568116,0.0798692452737547,13.891787031974621,36874,115.23158444626654,597706.2285227845,16.48230984514393,2.5667535950942275,0.3632712964679309,1469.1307751047657,0.33262791586133705,25.469416877736727,-0.09253903778981831,-4.978852898567759,-0.9710596850261624
1.8,4,lam1.8_kmean_4,1.5531437125748502,0.06775632782240912,13.895924055556362,36827,115.67735659083873,596432.4505823645,16.538318767735365,2.5454351281254493,0.3632712964679309,1326.1012726125134,0.31480381744888397,29.180021389595503,0.013826792724689896,-1.2682483867089829,-0.5252875404539736
1.9,3,lam1.9_kmean_3,1.7646745215119688,0.08728915723098554,13.896826275060455,36852,114.17501435337014,597363.6750968326,16.335724780627483,2.6055217470994427,0.3632712964679309,1452.9471827218683,0.3338518896289524,25.587173236779627,-0.08050388969435196,-4.861096539524858,-2.027629777922556
1.9,4,lam1.9_kmean_4,1.8329503553679258,0.08792602697843603,13.936744537938953,36740,115.6131708478618,595639.056208184,16.50675649609662,2.559274898559182,0.3632712964679309,1374.8412880217672,0.3207147769576733,27.108740626461014,-0.022419381162239738,-3.3395291498434716,-0.5894732834309053
2.0,3,lam2.0_kmean_3,1.4978468451600824,0.07021736864230231,13.890435395012954,36827,114.75376635045306,596834.3387887063,16.39066242311819,2.5934108748516738,0.3632712964679309,1442.4779059147766,0.3309692428726446,25.7397446059388,-0.07271826992312391,-4.708525170365686,-1.4488777808396378
2.0,4,lam2.0_kmean_4,1.3879957127545552,0.06353188174575812,13.705217613684825,36802,113.52408696371732,597704.3178639717,16.235853919051095,2.655195446046094,0.3632712964679309,1397.0141565590457,0.32923984292002145,25.430420842309804,-0.03890853574756292,-5.0178489339946815,-2.678557167575377
2.1,3,lam2.1_kmean_3,2.1327267861921326,0.10121700116306893,14.121640208471064,36573,115.4541041595224,591586.8297133928,16.518539298935355,2.526849969192976,0.3632712964679309,1402.03584339758,0.3243173498162522,26.212491421379013,-0.042642981311990624,-4.235778354925472,-0.748539971770299
2.1,4,lam2.1_kmean_4,1.7132913933877658,0.08247870716899407,14.001103138251644,36715,115.78604356702844,595371.8360216602,16.521133835922136,2.5487510549002588,0.3632712964679309,1351.9349049126417,0.3175569896147809,30.33812762144923,-0.005384738511380993,-0.1101421548552537,-0.4166005642642574
2.2,3,lam2.2_kmean_3,1.7546216680997422,0.08202312758111381,13.915145631322355,36563,114.71461130151957,591583.2504819364,16.39885849934171,2.5853773282906682,0.3632712964679309,1387.808913955178,0.32474771086585935,25.874040603154057,-0.03206293216517664,-4.574229173150428,-1.4880328297731324
2.2,4,lam2.2_kmean_4,1.5494126147341378,0.07229277983743237,13.83808549269367,36790,115.06567243685978,597651.1026370497,16.417816810490283,2.597302186033624,0.3632712964679309,1370.8552133350422,0.3217733071774809,28.87163458556521,-0.01945508262831086,-1.5766351907392746,-1.1369716944329156
2.3,3,lam2.3_kmean_3,1.3622806781847006,0.06830933415263137,13.869138075293941,36710,115.16952794914555,593814.0861057944,16.433639788331693,2.582786515850537,0.3632712964679309,1380.7024109839303,0.32263572522188955,27.266806929327256,-0.026778084791596823,-3.1814628469772295,-1.033116182147154
